事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名
2714101082,ラポール梅田,06-6940-6407,06-6940-6407,530-0001,大阪市北区梅田一丁目２番２－１４００号　大阪駅前第２ビル　１４階　２０号の２,株式会社ａｉコーポレーション,○,○,○,○,10,○,2019/01/01,
2714101744,ＡｓＦｉｎｅ　アビリティ,06-6348-0780,06-6348-0781,530-0001,大阪市北区梅田一丁目２番２号　大阪駅前第２ビル１２０３号,ＡｓＦｉｎｅ株式会社,○,○,○,○,20,,2019/06/01,
2714102262,ジョブリッジ多機能事業所,050-5305-1822,06-7635-9200,530-0001,大阪市北区梅田一丁目１番３号　大阪駅前第３ビル１０階,株式会社ジョブリッジ,○,○,○,○,10,○,2021/11/01,
2714102973,ワークスタジオ　梅田,06-4256-8120,06-4256-8121,530-0002,大阪市北区曽根崎新地一丁目４番２０号　桜橋ＩＭビル５・６階,株式会社グリーンフラッグ,○,○,○,○,20,,2024/03/01,
2719402329,ＳＡＫＡＫＩ,06-6191-1369,06-6191-1369,530-0003,大阪市北区堂島一丁目２番３２号　トヨタビル５０１,株式会社ＭＩＬＫ,○,○,○,○,10,,2021/03/01,Ｍｉｌｌｅ－Ｆｅｕｉｌｌｅ
2714100985,就労支援事業所ちえの輪,06-6136-3480,06-6136-3490,530-0015,大阪市北区中崎西一丁目２番１３号　サプライズビル３０１号,株式会社ジャスト・トレンド,○,○,○,,20,,2014/12/01,
2714102296,プレイズ天六,06-6351-7055,06-6351-7055,530-0031,大阪市北区菅栄町７番１５号　ハイマート福寿１階,一般社団法人プレイズ,○,○,○,○,10,,2022/03/01,
2714102924,レガーテ,06-6232-8975,06-6232-8976,530-0031,大阪市北区菅栄町４番６号　クレストⅠ１階,株式会社千手,○,○,○,○,20,,2024/02/01,
2714102171,健美道　天満,06-6755-4289,06-6755-4289,530-0033,大阪市北区池田町１番２５号　１階,有限会社　ファミリータイズ,○,○,○,○,18,,2021/09/01,
2714102650,Ａ型事業所　Ｊｏｙ　Ｑｕｅｓｔ,06-6467-4891,06-6467-4892,530-0035,大阪市北区同心一丁目１番２６号　ブリリアントタワー６Ｆ,株式会社みらここ,○,○,○,○,20,,2023/04/01,
2714101330,就労支援事業所ｈａｌｕ,06-6450-6762,06-6450-6763,530-0041,大阪市北区天神橋一丁目１２番２２号　ＣＡＢＩＮ天神橋ビル２Ｆ,エフォート株式会社,○,○,○,○,10,,2017/06/01,
2714101538,メビウス南森町,06-6135-8787,06-6135-8788,530-0041,大阪市北区天神橋二丁目２番９号　プラネット南森町２Ｆ,株式会社インフィニティ,○,○,○,○,20,,2018/08/01,
2714102122,みらいわーく,06-6357-6315,06-6357-6316,530-0041,大阪市北区天神橋三丁目１０番１７－６０１号　 ,株式会社みらい創生社,○,○,○,○,20,,2021/06/01,
2714103161,マーブル,06-6354-6500, ,530-0041,大阪市北区天神橋二丁目２番９号　プラネット南森町５階,株式会社トライロ,○,○,○,○,20,,2024/08/01,
2714103310,グリトニル,06-4397-3872,06-4397-3872,530-0041,大阪市北区天神橋一丁目１８番１号　ＥＳ　ＢＬＤＧ．４階　７階,特定非営利活動法人ＧＬＩＴＮＩＲ,○,○,○,○,10,,2024/12/01,
2714102130,Ｓａｉ,090-5649-1430, ,530-0042,大阪市北区天満橋一丁目１番４１号　Ｗ＆Ｔビル２階,合同会社ｅＳ,○,○,○,○,10,,2021/06/01,
2714102965,イベリス天満,06-6379-5018,06-6379-5019,530-0043,大阪市北区天満一丁目６番８号　六甲天満ビル８０２号,合同会社ウィル,○,○,○,○,20,,2024/03/01,
2714103237,ｌｅｎｉｓ,06-6867-7747,06-6867-7748,530-0044,大阪市北区東天満一丁目１０番１２号　エル・エスト不動産天満ビル５階,株式会社レーニス１００１,○,○,○,○,10,○,2024/10/01,
2714101033,就労支援事業所ちえの輪　西天満,06-6755-4509,06-6755-4519,530-0047,大阪市北区西天満四丁目５番８号　八方商事第２ビル　２階,株式会社ジャスト・トレンド,○,○,○,,20,,2015/04/01,
2714101470,アヴェク南森町,06-6366-0711,06-6366-0511,530-0047,大阪市北区西天満五丁目１番１５号　西天満パークビル２号館５Ｆ,株式会社アヴェク,○,○,○,○,10,○,2018/03/01,
2714103096,てあてる南森町,06-6315-8577,06-6315-8577,530-0047,大阪市北区西天満三丁目１番２７号　メビウス西天満Ｂｌｄｇ３０３号室,株式会社テアテル,○,○,○,○,20,,2024/07/01,
2714102338,プラスアルファⅡ,06-6467-4251, ,530-0047,大阪市北区西天満三丁目１番２５号　老松コープ１００３・１００４号室,株式会社ＴＮコミュニケーションズ,○,○,○,○,10,○,2022/04/01,
2714102213,シーキューブ,06-6809-7896,06-6316-3756,530-0047,大阪市北区西天満五丁目６番１０号　富田町パークビル２０６,株式会社シーキューブ,○,○,○,○,20,,2021/10/01,
2714103039,Ａ－ＳＴＡＲＴ,06-6809-3440,06-6809-3444,530-0047,大阪市北区西天満五丁目６番１０号　富田町パークビル２０２号,株式会社Ａ－ＳＴＡＲＴ,○,○,○,○,18,,2024/04/01,
2714103138,Ｓａｉｌｓ大阪,06-6379-5704,06-3679-5705,530-0047,大阪市北区西天満五丁目１６番１６号　ＰＲＩＸ５Ｆ,株式会社ｓｅｔ　ｏｆ　ｓａｉｌｓ,○,○,○,○,20,,2024/07/01,
2714102395,アイリス大阪梅田,06-6360-4714,06-6360-4715,530-0051,大阪市北区太融寺町２番２１号　ニュープラザビル１００１号室,合同会社ウィル,○,○,○,○,20,,2022/06/01,
2714101298,アヴェク,06-6311-2611,06-6311-2612,530-0053,大阪市北区末広町２番３７号　米澤ビル３Ｆ,株式会社アヴェク,○,○,○,○,20,,2017/01/01,
2714101157,就労支援事業所　つみ木,06-6312-1888,06-6312-1877,530-0054,大阪市北区南森町二丁目１番２０号　南森町エンシンビル６階,株式会社リズム,○,○,○,,20,,2015/12/01,
2714102908,就労継続支援　ＡＢＰｏｓｓｉｂｌｅ,06-6450-5321,06-7635-8439,530-0055,大阪市北区野崎町６番８ー５０１号　 ,一般社団法人Ｐｏｓｓｉｂｌｅ,○,○,○,,10,○,2024/02/01,
2714102833,就労継続支援Ａ型事業所　Ｓｐａｒｋ,06-6379-5666,06-6379-5667,530-0055,大阪市北区野崎町３番２号　平成ＡＹビル５階,株式会社オプティリンク,○,○,○,○,20,,2023/12/01,
2714101934,プラスアルファ,06-6467-4251,06-6467-4152,530-0056,大阪市北区兎我野町３番８号　寿楽ビル２０１／２０２号／２０３号／２０５号,株式会社ＴＮコミュニケーションズ,○,○,○,○,10,○,2020/09/01,
2714102189,ＡＣＣＥＰＴ　ＣＯＦＦＥＥ,06-6355-6150,06-6355-6151,531-0041,大阪市北区天神橋七丁目１０番５号　ジェイワン天七ビル１階,株式会社ジー・エヌ・オー,○,○,○,○,10,○,2021/09/01,
2714100498,中津サテライトオフィス,06-6374-1481,06-6374-1614,531-0071,大阪市北区中津一丁目４番１０号　,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,,○,○,10,○,2013/07/01,
2714101223,セイフティ事業所,06-6459-7533,06-7878-4203,531-0071,大阪市北区中津一丁目１７番２５号　中津インタービル６Ｆ,一般社団法人セイフティ就労支援協会,○,,○,○,20,,2016/07/01,
2714101702,プレイズ,06-6136-4430,06-6136-4430,531-0071,大阪市北区中津一丁目１８番９号８Ｆ　 ,一般社団法人プレイズ,○,○,○,○,20,,2019/04/01,
2714102023,Ｉ．Ｃ．Ｇ．Ｊｏｂｓ,06-6599-9474, ,531-0071,大阪市北区中津一丁目１７番２５号　中津インタービル５Ｆ,一般社団法人Ｉ．Ｃ．Ｇ．Ｊｏｂｓ,○,○,○,○,20,,2020/12/01,
2714101827,テーブルなかつ,06-6147-3748,06-6147-3749,531-0071,大阪市北区中津一丁目９番１６号　 ,株式会社とりあんテーブル,○,○,○,○,15,,2019/10/01,
2714102585,ＡＣ,06-6734-6114,06-6734-6114,531-0072,大阪市北区豊崎七丁目２番２３号　５Ｆ,一般社団法人ＡＣ,○,○,○,○,15,,2023/03/01,
2714102288,就労継続支援　Ｓｅｅｄ　ｏｆ　Ｈｏｐｅ　大阪　天神橋筋店,06-6476-8036,06-6476-8037,531-0074,大阪市北区本庄東一丁目２２番３号　四本ビル５０１,株式会社ＮＡＫＡＳＨＩＭＡ,○,○,○,○,20,,2022/02/01,
2714103047,ＮＥＸＴ　ＳＴＥＰ　ゆるり,06-6476-8246,06-6476-8247,531-0075,大阪市北区大淀南一丁目９番１９号　エンパイアービル７０１号,株式会社まったりと,○,○,○,○,20,,2024/04/01,
2714101926,Ｂｉｒｔｈｄａｙ　新梅田シティ店,070-8311-3862,06-7635-8090,531-0076,大阪市北区大淀中一丁目１８番１４号　Ａｐｔ．新梅田１０１,株式会社Ｂｉｒｔｈｄａｙ,○,○,○,○,20,,2020/05/01,
2714101926,Ｂｉｒｔｈｄａｙ　西梅田店,06-7709-4919,,531-0076,大阪市北区大淀中三丁目３番２５号　,株式会社Ｂｉｒｔｈｄａｙ,○,○,○,○,8,,2020/05/01,Ｂｉｒｔｈｄａｙ　新梅田シティ店
