事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,共生型指定
2714100654,生活介護事業所ぜんかい屋,06-6242-1119,06-6242-1120,530-0035,大阪市北区同心二丁目６番１３号　エミネントヤナセ１０１,特定非営利活動法人　おおさか行動する障害者応援センター,○,○,○,○,20,,2011/10/01,,
2714102056,生活介護　ろじ～な,06-4309-6982,06-4309-6983,530-0041,大阪市北区天神橋三丁目４番１１号　大金ビル２階,株式会社Ｓｈａｌｏｍ,○,○,○,○,20,,2021/02/01,,
2714100696,たけのこ,06-7502-4878,06-7502-4878,531-0073,大阪市北区本庄西二丁目１７番２２号　カーサ永田１Ｆ,特定非営利活動法人　ゆう,○,○,○,,10,,2012/04/01,,
2714103252,ＬＡＵＧＦ,06-6450-8071,06-6450-8072,531-0074,大阪市北区本庄東二丁目２番１０号　渡辺ビル１階,株式会社　よろこび,○,○,,○,20,,2024/11/01,,
2714100563,おおよど,06-6454-8445,06-6454-8445,531-0076,大阪市北区大淀中四丁目７番１１号　シンプルハートマンション１階,社会福祉法人　大淀福祉会,○,○,,,20,,2011/04/01,,
2715200461,生活介護たんばや,06-6924-2941,06-6924-2088,534-0001,大阪市都島区毛馬町二丁目８番２６号　サンパティーク毛馬１０１号室,株式会社　ＫＡＯＲＵ,○,○,○,○,20,,2011/01/01,,
2715201816,生活介護　シグナル,06-6169-8400,06-6169-8401,534-0002,大阪市都島区大東町三丁目７番４７号　 ,株式会社インパクト,○,○,○,○,10,○,2024/10/01,,
2715200594,社会福祉法人治栄会あかまつ園,06-6929-5100,06-6929-4455,534-0012,大阪市都島区御幸町二丁目１０番２３号　 ,社会福祉法人治栄会,○,○,○,,30,,2012/04/01,,
2715200891,生活介護　エース,06-6922-0001,06-6922-0002,534-0012,大阪市都島区御幸町一丁目５番２１号　アルファ都島ビル１Ｆ,株式会社エース,○,○,○,○,20,,2016/01/01,,
2715201592,生活介護クローバー,06-6923-8821,06-6923-8822,534-0021,大阪市都島区都島本通三丁目１３番２３号　 ,合同会社くう,○,○,○,○,20,,2023/10/01,,
