事業所名称,事業所郵便番号,事業所所在地
長尾会多機能型サポートセンターつばめの家,572-0853,大谷町7-3
YCCカレッジ,572-0080,香里北之町3-20メゾンイン香里1階
DSガネーシャ池田新町,572-0038,池田新町1番22-102号
キャンバス,572-0835,日之出町20番2号
ほっとスペースあん,596-0047,大阪府岸和田市上野町東13番10号三八ビル１階Ｂ号室
ＣｏＣｏ,596-0823,大阪府岸和田市下松町一丁目11番７号
はなはな,596-0102,大阪府岸和田市山直中町875番地
放課後等デイサービスこまつり,596-0821,大阪府岸和田市小松里町911-１
放課後等デイサービスなう,596-0826,大阪府岸和田市作才町1180番地１階
児童デイサービスばらの木,596-0001,大阪府岸和田市磯上町一丁目14番23号
キッズハウスなごみ家,596-0831,大阪府岸和田市畑町四丁目１番16号
運動＆学習療育あなたが宝モノ　岸和田堺町教室,596-0072,大阪府岸和田市堺町１番38号大起ビル３Ｆ
ジェイキッズきりん,596-0825,大阪府岸和田市土生町2475-22
こどもランドなっつ,596-0816,大阪府岸和田市尾生町1188番地の１
児童デイサービスばらの木アネックス,596-0045,大阪府岸和田市別所町二丁目３番２号
放課後デイサービスつじい,596-0816,大阪府岸和田市尾生町三丁目３番50号
放課後デイサービス・ふれあい泉,596-0002,大阪府岸和田市吉井町二丁目12番21号
こどもハウスだんぼ,596-0814,大阪府岸和田市岡山町220番地の２
アリス,596-0823,大阪府岸和田市下松町三丁目４番１号Ａ棟102号、104号、105号
キッズハウスなごみ家土生,596-0825,大阪府岸和田市土生町九丁目11番11号
児童福祉サービスＬａｒｉｍａｒ Arch,596-0003,大阪府岸和田市中井町二丁目８番31号
発達支援教室レッツ,596-0823,大阪府岸和田市下松町三丁目５番11号
児童発達支援・放課後等デイサービスＨＵＧＳ,596-0047,大阪府岸和田市上野町東10番39号１階
多機能型事業所　子どもの森,596-0805,大阪府岸和田市田治米町13番地の４
児童発達支援・放課後等デイサービス陽（ひなた）,596-0056,大阪府岸和田市北町10番7号
清流の家　岸和田,596-0827,大阪府岸和田市上松町457－１
進学＆就職支援あなたが宝モノ岸和田沼町教室,596-0053,大阪府岸和田市沼町18番1号川長ビル２F
児童デイサービスくれよん下池田,596-0811,大阪府岸和田市下池田町一丁目６番17号
放課後児童デイサービスくれよん,596-0821,大阪府岸和田市小松里町874番地３
放課後等デイサービス　なごみ家,596-0825,大阪府岸和田市土生町2286番地
MIND  after  school,596-0826,大阪府岸和田市作才町1162番地の１シンエイビル6階
放課後等デイサービス・児童発達支援　ひなたきっず,５９６－００３５,大阪府岸和田市春木泉町10番33号　宮城ビル１階
