就労継続支援（Ｂ型）,,,,,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,,,
2714103070,かのん梅田,06-6147-8812,06-6147-8842,530-0001,大阪市北区梅田一丁目２番２　大阪駅前第２ビル４階４－１－１号,株式会社かのん,○,○,○,○,20,,2024/06/01,,,,
2714102726,Ｄｏｎｔｏｍワークス梅田店,06-6690-8710,06-6690-8720,530-0001,大阪市北区梅田一丁目３番１－６００　 ,株式会社ＡＴＳ,○,○,○,○,32,○,2023/07/01,,,,
2714103153,ワンダーフレンズ梅田,06-6348-1077,06-6348-1078,530-0001,大阪市北区梅田一丁目２番２号　大阪駅前第２ビル１２階,株式会社テックエキスパート,○,○,○,○,20,,2024/08/01,,,,
2714101173,まなびの里,06-6371-5039,06-6371-5039,530-0014,大阪市北区鶴野町４番　コープ野村梅田Ａ棟１０１７,合同会社ネットワークユーアイ,○,○,○,○,20,,2016/02/01,,,,
2714101173,まなびの里鶴野町２,06-6371-5039,06-6371-5039,530-0014,大阪市北区鶴野町４番地　コープ野村梅田Ａ棟１２０６号,合同会社ネットワークユーアイ,,○,○,,10,,2016/02/01,まなびの里,,,
2714102486,ＯＨＡＮＡ　中崎町,06-7492-3805,06-6335-9615,530-0015,大阪市北区中崎西一丁目１１番１７号　 ,合同会社ヘブンリーハナ,○,○,○,○,20,,2022/08/01,,,,
2714100365,なんばなかよし作業所,06-6351-1140,06-6351-1140,530-0035,大阪市北区同心一丁目５番２７号　大阪市立北区総合福祉センター４階,社会福祉法人なでしこ会,○,○,○,,40,,2008/01/01,,,,
2714100365,Y－community space プリティ・ハート,06-6351-1140,06-6351-1140,530-0036,大阪市北区与力町6番27号　,社会福祉法人なでしこ会,○,○,○,,10,,2008/01/01,なんばなかよし作業所,,,
2714102304,ＰＯＰＯアニメーションスタジオ,06-4800-3510,06-4800-3511,530-0037,大阪市北区松ケ枝町１番３９号　 ,株式会社ＴＲＥＥ,○,○,○,○,20,,2022/03/01,,,,
2714101330,就労支援事業所ｈａｌｕ,06-6450-6762,06-6450-6763,530-0041,大阪市北区天神橋一丁目１２番２２号　ＣＡＢＩＮ天神橋ビル２Ｆ,エフォート株式会社,○,○,○,○,10,○,2024/08/01,,,,
2714102270,いろいろらぼ,06-6450-6628,06-6450-6628,530-0041,大阪市北区天神橋三丁目８番１４号　フェスタ天神３０１・３０２号室,合同会社ＴＡＮＡＧＯＫＯＲＯ,○,○,○,○,20,○,2021/12/01,,,,
2714103294,もみの木,090-6668-0813, ,530-0041,大阪市北区天神橋四丁目８番８号　３Ｆ,株式会社善,○,○,○,○,20,,2024/11/01,,,,
2714103237,ｌｅｎｉｓ,06-6867-7747,06-6867-7748,530-0044,大阪市北区東天満一丁目１０番１２号　エル・エスト不動産天満ビル５階,株式会社レーニス１００１,○,○,○,○,20,○,2024/10/01,,,,
2719201440,ひととてワークス東天満,06-7777-5384,06-7777-5394,530-0044,大阪市北区東天満一丁目２番１４号　,特定非営利活動法人絵光社,○,○,○,○,15,,2023/08/01,ひととてワークス,,,
2714100415,自立支援カレッジチャレンズ,06-6362-3077,06-6362-3076,530-0046,大阪市北区菅原町１１番１０－３０２号　 ,エヌ・エフ・ジェイ　株式会社,○,○,○,○,20,,2009/04/01,,,,
2714103195,就労継続支援Ｂ型もくもく,080-2418-9734, ,530-0046,大阪市北区菅原町１０番３２号　ＤＡＩＸ西天満　６階,株式会社ＲＡＦＴＥＬ,○,○,○,○,20,,2024/09/01,,,,
