自立訓練（生活訓練）,,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,共生型指定
2714100878,スクールきると,06-6136-5709,06-6136-5719,530-0001,大阪市北区梅田一丁目１１番４号　大阪駅前第４ビル４階３号室,株式会社きると,○,○,,20,,2014/04/01,,
2714102635,ＣｏｃｏｒｐｏｒｔＣｏｌｌｅｇｅ　大阪梅田キャンパス,06-6743-4695,06-6743-4697,530-0003,大阪市北区堂島二丁目３番９号　ＳＵＲＥ堂島ビル６階,株式会社ココルポート,○,○,,20,,2023/04/01,,
2714101801,ミント大阪,06-6335-9200,06-6335-9201,530-0041,大阪市北区天神橋三丁目８番９号　新末広ビル６階,株式会社リテラル,○,○,○,14,○,2019/10/01,,
2714101884,ニューロリワーク　梅田センター,06-4397-4819,06-4397-4820,530-0047,大阪市北区西天満二丁目１１番８号　アメリカンビル７０３,インクルード株式会社,,○,,8,,2020/03/01,,
2714100787,Ｃｏｓｍｏｓ,06-6940-0875, ,531-0041,大阪市北区天神橋七丁目３番２号　大山ビル８階,株式会社　コスモス,○,○,○,11,,2013/04/01,,
2715200586,社会福祉法人正真会生活訓練施設加光,06-6351-8668,06-6351-3666,534-0024,大阪市都島区東野田町五丁目５番１６号　,社会福祉法人　正真会,,○,,20,,2012/03/01,,
2715200917,ディスエイブルド就労支援センター,06-6882-6200,06-6882-6201,534-0024,大阪市都島区東野田町一丁目２０番５号４階　 ,特定非営利活動法人ディスエイブルド就労支援センター,○,○,○,17,○,2016/01/01,,
2710200615,生活訓練事業所Ｋａｉｅｎ大阪福島,050-2018-3219,050-2018-0907,553-0003,大阪市福島区福島七丁目１９番１３号　マトバビル４階,株式会社Ｋａｉｅｎ,○,○,○,20,,2021/01/01,,
2719400919,クオリア,06-6946-7717,06-6946-7716,540-0012,大阪市中央区谷町二丁目１番２２号　フェアステージ大手前ビル５０１号,仁和株式会社,○,○,○,20,,2024/07/01,,
2719403400,ディーエンカレッジ　大手前キャンパス,06-6979-5471,06-6379-5472,540-0012,大阪市中央区谷町二丁目３番４号　サンシャイン大手前ビル２階,合同会社夢やプロジェクト,,○,,20,,2024/05/01,,
2719403632,自立訓練事業所　イオンサポート,06-6450-5083,06-6450-5084,540-0022,大阪市中央区糸屋町二丁目１番８号　川友ビル５階,ポスＣＯＭ株式会社,○,○,○,10,○,2024/10/01,,
2719401594,大阪ろう就労支援センター,06-6941-8111,06-6941-8112,540-0024,大阪市中央区南新町一丁目１番２号　７階,特定非営利活動法人大阪ろう難聴就労支援センター,○,○,○,10,○,2018/01/01,,
2719403301,ｅｎｃｏｕｒａｇｅ　ｄｏｏｒｓ　北浜,06-6926-8796,06-6926-8797,541-0041,大阪市中央区北浜一丁目３番１４号　リバーポイント北浜２Ｆ,株式会社エンカレッジ,○,○,,20,,2024/04/01,,
2719401693,リワークスカレッジ,06-6484-5562,06-6484-5563,541-0053,大阪市中央区本町一丁目５番６号　大阪山甚ビル３Ｆ,産業メディカル合同会社,○,○,○,6,○,2024/01/01,,
2719401925,ライフリズム,06-6265-0252,06-6265-0253,541-0057,大阪市中央区北久宝寺町二丁目１番１５号　船場エースビル８階,株式会社Ｋｉｃｈｉｔｏｍ,○,○,○,14,○,2019/06/01,,
2719401412,たむらソーシャルネット　えん,06-6766-7071,06-6766-7081,542-0061,大阪市中央区安堂寺町二丁目２番１５号　島田ビル７０１号,有限会社たむらソーシャルネット,○,○,○,10,○,2017/04/01,,
2711801361,あゆむ京町堀,06-6131-6393,06-6131-6434,550-0003,大阪市西区京町堀一丁目７番２１号７階　 ,一般社団法人ＡＰＬｏｖｉｎｇ,○,○,○,20,,2024/05/01,,
2711700704,支援センターｉｓｈ,06-6772-0032,06-6772-0032,543-0001,大阪市天王寺区上本町七丁目１番７号　ベルヴィ上本町２Ｆ,一般社団法人　Ｍｅ２,○,○,,6,○,2015/04/01,,
2711701199,Ｃｏｍｅ－ｄａｙ,06-6761-2020,06-6761-3697,543-0017,大阪市天王寺区城南寺町５番３５号　ＨＮビル,株式会社オリヴィエ,○,○,○,10,○,2021/04/01,,
2711701082,フォーチュンエイド,06-6777-9717,06-6777-9719,543-0041,大阪市天王寺区真法院町６番１２号　真法院ＪＮビル４階,株式会社フォーチュンインターナショナル,○,○,,10,○,2020/01/01,,
