"事業所番号","事業所名称","事業所名カナ","事業所電話番号","事業所FAX番号","事業所郵便番号","事業所所在地","法人名称","法人電話番号","法人FAX番号","法人郵便番号","法人主たる事務所所在地","利用定員"
"2750320026","児童デイサービスハイジ","ジドウデイサービスハイジ","072-828-0708","5035450401","572-0046","大阪府寝屋川市成美町27番10号","株式会社ゆりかごから旅立ちまで","072-828-0708","050-3545-0401","572-0047","大阪府寝屋川市大利元町20番3号","5"
"2750320034","放課後等デイサービス キャロット 寝屋川池田","ホウカゴトウデイサービス キャロットネヤガワイケダ","072-830-1515","072-830-1515","572-0039","大阪府寝屋川市池田2丁目11番46号","株式会社 楽松","072-800-4771","072-800-4772","572-0041","大阪府寝屋川市桜木町7-9","10"
"2750320042","放課後等デイサービスひなた","ホウカゴトウデイサービスヒナタ","072-824-3377","072-824-3378","572-0849","大阪府寝屋川市太秦元町20番21号","株式会社 マザーズ","072-811-3344","072-811-3346","572-0844","大阪府寝屋川市太秦緑が丘22番15号","10"
"2750320083","障がい児通所支援寝屋川ぴょんぴょん教室","ショウガイジツウショシエンネヤガワピョンピョンキョウシツ","072-811-5901","","572-0837","大阪府寝屋川市早子町23番地2アドバンスねやがわ二号館内","社会福祉法人大阪府肢体不自由者協会","06-6940-4181","06-6943-4661","540-0006","大阪府大阪市中央区法円坂一丁目1番35号アネックスパル法円坂","10"
"2750320109","児童デイサービスさくら","ジドウデイサービスサクラ","072-865-5134","072-865-5134","572-0045","大阪府寝屋川市東神田町22-9","株式会社イヤステ","072-667-1111","072-667-1109","567-0882","大阪府茨木市元町1番23号","10"
"2750320133","ケアライフサポートりぼん","ケアライフサポートリボン","072-803-8238","072-803-8239","572-0054","大阪府寝屋川市下神田町23番8号OTYマンション1階南","正風苑有限会社","072-827-7888","072-827-7888","572-0054","大阪府寝屋川市下神田町23番8号","10"
"2750320141","YCCこども教育研究所そよそよ","ワイシーシーコドモキョウイクケンキュウジョソヨソヨ","072-834-2222","072-834-2222","572-0085","大阪府寝屋川市香里新町22番3-106号","一般社団法人YCCこども教育研究所","072-834-2222","072-834-2222","572-0085","大阪府寝屋川市香里新町22番3-102号","10"
"2750320174","おんかい","オンカイ","072-832-6912","072-832-6902","572-0008","大阪府寝屋川市菅相塚町1番9号","一般社団法人ながち会","072-832-6912","","572-0008","大阪府寝屋川市菅相塚町1番9号","10"
"2750320182","りぷる","リプル","072-811-0503","072-811-0505","572-0814","大阪府寝屋川市堀溝一丁目22番4号","株式会社 イノベーション","072-811-0501","072-811-0505","572-0814","大阪府寝屋川市堀溝一丁目22番4号","10"
"2750320190","ケアライフサポートりぼんfirst","ケアライフサポートリボンカヤシマファースト","072-800-7738","072-800-7739","572-0829","大阪府寝屋川市萱島信和町1番7-6","正風苑有限会社","072-827-7888","072-827-7888","572-0054","大阪府寝屋川市下神田町23番8号","10"
"2750320216","放課後等デイサービスきらっと","ホウカゴトウデイサービスキラット","072-381-9610","072-381-9620","572-0003","大阪府寝屋川市成田南町20番6号","株式会社らふえるコミュニケーションズ","03-6869-9863","03-6869-9864","184-0011","東京都小金井市東町五丁目14番17号","10"
"2750320257","ぎゃらりー","ギャラリー","072-803-6022","072-803-6032","572-0029","大阪府寝屋川市寿町48番11イズミビル1F","ヒットギャラリー株式会社","072-803-6022","072-803-6032","572-0029","大阪府寝屋川市寿町48番11イズミビル1F","10"
"2750320265","flat寝屋川店","フラットネヤガワテン","072-800-3550","072-800-3551","572-0003","大阪府寝屋川市成田南町3番2号2階","株式会社flat","072-814-7757","072-814-7756","575-0062","大阪府四條畷市清滝新町5番13号","10"
"2750320299","あいの放課後等デイサービスねやがわ","アイノホウカゴトウデイサービスネヤガワ","072-812-1711","072-812-1712","572-0853","大阪府寝屋川市大谷町8番16号","社会福祉法人 藍野福祉会","072-627-1901","072-625-8399","567-0012","大阪府茨木市東太田1-4-39","10"
"2750320307","Joie","ジョワ","072-833-0225","072-833-0226","572-0022","大阪府寝屋川市緑町16番17号","株式会社Lieu","8089455785","","572-0856","大阪府寝屋川市宇谷町10番1号","10"
"2750320331","きみどりはうす","キミドリハウス","072-800-3722","072-800-3723","572-0803","大阪府寝屋川市梅が丘一丁目16番13号 BEAUCHAMPS夢運101号室","合同会社からふるぱーとなーず","072-807-8701","072-807-8728","575-0013","大阪府四條畷市田原台二丁目10番7号","10"
"2750320349","いこい 寝屋川","イコイ ネヤガワ","072-802-0151","072-802-0153","572-0019","大阪府寝屋川市三井南町18番5号香里ニューハイツ102号室","株式会社憩","072-802-3237","072-834-3234","573-0094","大阪府枚方市南中振一丁目16番26号","10"
"2750320356","こどもサポート教室「きらり」寝屋川校","コドモサポートキョウシツ「キラリ」ネヤガワコウ","072-800-7427","072-800-7427","572-0032","大阪府寝屋川市北大利町12番8号ヴィドール園尾ビル2階","株式会社クラ・ゼミ","053-458-6111","053-458-6116","430-0944","静岡県浜松市中央区田町230番地の15","10"
"2750320372","つばさ児童デイサービスセンター","ツバサジドウデイサービスセンター","072-830-3331","072-830-3332","572-0039","大阪府寝屋川市池田二丁目9番15号","社会福祉法人 療育・自立センター","072-824-4664","072-824-4767","572-0853","大阪府寝屋川市大谷町7番1号","10"
"2750320398","YCCもこもこ香里園南教室","モコモココウリエンミナミキョウシツ","072-832-9016","","572-0029","大阪府寝屋川市寿町39-10 京阪不動産会館3階","株式会社OneVision","06-6222-8101","","541-0044","大阪府大阪市中央区伏見町二丁目1番1号","10"
"2750320406","ひまわりはぁと寝屋川","ヒマワリハァトネヤガワ","072-800-6125","","572-0024","大阪府寝屋川市石津南町2-3","株式会社T-ボンド","06-4708-5067","","542-0083","大阪府大阪市中央区東心斎橋一丁目9番21号","10"
"2750320414","医療法人長尾会 放課後等デイサービスもみじの家","イリョウホウジンナガオカイ ホウカゴトウデイサービスモミジノイエ","072-865-1066","","572-0081","大阪府寝屋川市東香里園町18番15号1階","医療法人 長尾会","072-822-3561","072-824-1263","572-0854","大阪府寝屋川市寝屋川公園2370番地6","10"
"2750320422","児童デイサービスこぱん","ジドウデイサービスコパン","072-800-5388","","572-0052","大阪府寝屋川市上神田2丁目9番9号","合同会社SAKURA","080-3842-0814","","572-0081","大阪府寝屋川市東香里園町29番10号","10"
"2750320448","スマイルベース","スマイルベース","072-831-7582","072-831-7583","572-0015","大阪府寝屋川市川勝町9-14","株式会社SR","072-822-1177","072-822-1178","572-0848","大阪府寝屋川市秦町3番6号 秦ビル2階","10"
"2750320455","YCCもこもこ香里園教室","ワイシーシーモコモココウリエンキョウシツ","072-831-1126","","572-0085","大阪府寝屋川市香里新町22-3SUNミネマツ1F","株式会社 OneVision","06-6222-8101","","541-0044","大阪府大阪市中央区伏見町二丁目1番1号","10"
"2750320463","Joie force","ジョア フォルス","072-833-0225","","572-0856","大阪府寝屋川市宇谷町10-1 グリーンヒルウエハラ1階","株式会社Lieu","8089455785","","572-0856","大阪府寝屋川市宇谷町10番1号","10"
"2750320471","ウィングハート","ウィングハート","072-839-2319","","572-0022","大阪府寝屋川市緑町3番5号","ウィング合同会社","072-839-2319","","572-0077","大阪府寝屋川市点野一丁目6番3号","10"
"2750320489","スマイルベース ネクスト","スマイルベース ネクスト","072-822-1177","072-822-1178","572-0848","大阪府寝屋川市秦町3番6号 秦ビル2階","株式会社SR","072-822-1177","072-822-1178","572-0848","大阪府寝屋川市秦町3番6号秦ビル2階","10"
"2750320497","こもれびこども教室寝屋川市駅前ルーム","コモレビコドモキョウシツコネヤガワシエキマエルーム","072-830-3230","072-830-3231","572-0042","大阪府寝屋川市東大利町11番11号2階","社会福祉法人大阪誠昭会","072-827-1330","072-827-1370","572-0043","大阪府寝屋川市錦町21番6号","10"
"2750320505","陽だまり","ヒダマリ","072-839-3033","","572-0051","大阪府寝屋川市高柳4丁目6番2号","社会福祉法人高柳福祉会","072-827-1291","072-827-1278","572-0051","大阪府寝屋川市高柳4丁目6番23号","10"
"2750320513","ガネーシャ放課後こども教室","ガネーシャホウカゴコドモキョウシツ","072-826-5262","072-839-8558","572-0048","大阪府寝屋川市大利町10番20号","有限会社T-COA","072-828-2826","078-829-5963","572-0038","大阪府寝屋川市池田新町1番22-202号","10"
"2750320521","キックオフ チャイルド・ケアセンター","キックオフ チャイルドケアセンター","072-822-7570","","572-0862","大阪府寝屋川市打上宮前町3番1号 寝屋川東ファミリータウン中1番館A14号","学校法人誠昭学園","072-821-0864","","572-0803","大阪府寝屋川市梅が丘一丁目5番1号","10"
"2750320539","第2つばさ児童デイサービスセンター","ダイツバサジドウデイサービスセンター","072-830-7655","072-830-7656","572-0073","大阪府寝屋川市池田北町22番10号","社会福祉法人 療育・自立センター","072-824-4664","072-824-4767","572-0853","大阪府寝屋川市大谷町7番1号","10"
"2750320554","オールケア寝屋川のどか","オールケアネヤガワノドカ","072-811-5521","","572-0856","大阪府寝屋川市宇谷町1番21号","株式会社オールケア寝屋川","072-811-5521","","572-0856","大阪府寝屋川市宇谷町1番21号","5"
"2750320562","オールケア寝屋川ひかり","オルケーケアネヤガワヒカリ","072-800-3201","","572-0856","大阪府寝屋川市宇谷町1-18","株式会社オールケア寝屋川","072-811-5521","","572-0856","大阪府寝屋川市宇谷町1番21号","5"
