"事業所番号","事業所名称","事業所名カナ","事業所電話番号","事業所FAX番号","事業所郵便番号","事業所所在地","法人名称","法人電話番号","法人FAX番号","法人郵便番号","法人主たる事務所所在地","主たる対象者:身体","主たる対象者:知的","主たる対象者:精神","主たる対象者:難病","利用定員"
"2710300811","すばる・北斗福祉作業所","スバルホクトフクシサギョウショ","072-824-4664","072-824-4767","572-0853","大谷町7番1号","社会福祉法人 療育・自立センター","072-824-4664","072-824-4767","572-0853","大阪府寝屋川市大谷町7番1号","O","O","","","20"
"2710300829","はたのさと","ハタノサト","072-823-2230","072-812-2292","572-0848","秦町29番4号","社会福祉法人 聖森会","072-823-1212","072-823-1216","572-0832","大阪府寝屋川市本町13番3号","","","O","","20"
"2710300886","みつわファクトリー","ミツワファクトリー","072-838-7085","072-838-7084","572-0075","葛原一丁目27-20","社会福祉法人 みつわ会","072-838-7230","072-825-1634","572-0030","大阪府寝屋川市池田本町30番6号","","O","O","","40"
"2710300894","みつわ会寝屋川製作所","ミツワカイナネヤガワセイサクショ","072-825-1634","072-825-1634","572-0048","大利町2番9号","社会福祉法人 みつわ会","072-838-7230","072-825-1634","572-0030","大阪府寝屋川市池田本町30番6号","O","","","","20"
"2710300902","たつき福祉作業所","タツキフクシサギョウショ","072-820-1144","072-820-3313","572-0825","萱島南町8番20号102","社会福祉法人 宮の里福祉会","072-820-1144","072-820-3313","572-0825","大阪府寝屋川市萱島南町8番20号102","O","O","O","","20"
"2710301009","ハンドビジネスセンター","ハンドビジネスセンター","072-826-3515","072-826-8882","572-0051","高柳六丁目13番14号","社会福祉法人 ハンドビジネスセンター","072-826-3515","072-826-8882","572-0051","大阪府寝屋川市高柳六丁目13番14号","","","","","14"
"2710301033","ひまわり作業所","ヒマワリサギョウショ","072-826-6048","072-826-6048","572-0839","平池町22番8-102","社会福祉法人 かえで会","072-826-6048","072-826-6048","572-0839","大阪府寝屋川市平池町22番8-102号","","","","","10"
"2710301090","パゴダの丘作業所合掌園","パゴダノオカサギョウショガッショウエン","072-835-2800","072-835-5666","572-0002","成田東が丘28番7号","社会福祉法人 百丈山合掌会","072-833-0008","072-834-1002","572-0002","大阪府寝屋川市成田東が丘28番7号","","","","","10"
"2710301504","おはなの作業所","オハナノサギョウショ","072-813-0875","072-813-0877","572-0051","高柳2丁目21-1","有限会社 安岡","072-813-0876","072-813-0877","572-0051","大阪府寝屋川市高柳2丁目21番1号","O","O","","","20"
"2710301520","小路北町作業所","ショウジキタマチサギョウショ","072-813-4119","072-813-4119","572-0866","小路南町16番67号","社会福祉法人 讃良福祉会","072-820-6135","072-820-6147","572-0866","大阪府寝屋川市小路南町8番2号","O","O","","","14"
"2710301546","オレンジの森(ハートリー)","オレンジノモリハートリー","072-828-4001","072-828-4005","572-0853","大谷町12番3号","社会福祉法人 ねやのさと福祉会","072-821-7050","072-821-9255","572-0853","大阪府寝屋川市大谷町12番3号","O","","","","10"
"2710301876","グッドパートナーしめの","グッドパートナーシメノ","072-812-6633","072-812-6633","572-0077","点野三丁目30番4号","One. Work合同会社","072-812-6633","","572-0077","大阪府寝屋川市点野三丁目30番4号","","","","","20"
"2710301934","長尾会多機能型サポートセンターめだかの家","ナガオカイタキノウガタサポートセンターメダカノイエ","072-800-5210","","572-0853","大谷町7-3","医療法人 長尾会","072-822-4908","072-822-4908","572-0854","大阪府寝屋川市寝屋川公園2370番地6","O","O","O","","14"
"2710301959","YCCカレッジ","ワイシーシーカレッジ","072-831-1156","072-831-1166","572-0080","香里北之町3-20メゾンイン香里1階","一般社団法人リトルウィング","072-831-1156","072-831-1166","572-0080","大阪府寝屋川市香里北之町3-2","O","","","O","10"
"2710302064","就労支援センターきのこ","シュウロウシエンセンターキノコ","072-820-5577","072-820-5578","572-0866","小路南町20番8号","株式会社KIYOMI","072-877-7666","","575-0042","大阪府四條畷市部屋本町1番14号","O","O","","","20"
"2710302270","作業所りんの","サギョウショリンノ","072-813-9180","072-821-9403","572-0811","楠根南町22番1号","株式会社IB","072-821-1776","072-821-9403","572-0811","大阪府寝屋川市楠根南町22番1号","","","","","14"
"2710302304","チャレンジドセンターつばさ","チャレンジドセンターツバサ","072-830-3331","072-830-3332","572-0039","池田二丁目9番15号","社会福祉法人 療育・自立センター","072-824-4664","072-824-4767","572-0853","大阪府寝屋川市大谷町7番1号","O","O","","","15"
"2710302312","さくらの作業所","サクラノサギョオウショウショ","072-813-7985","","572-0838","八坂町27-2","さくら咲株式会社","080-1440-1062","072-813-3007","572-0838","大阪府寝屋川市八坂町27-2","O","O","","","20"
"2710302346","クレアーレ","クレアーレ","072-828-8217","","572-0839","平池町13番8号","社会福祉法人 みつわ会","072-838-7230","072-825-1634","572-0030","大阪府寝屋川市池田本町30番6号","O","O","","","20"
"2710302387","就労継続支援B型まんま","シュウロウケイゾクシエンビーガタマンマ","072-811-3343","","572-0844","太秦緑が丘22番15号","株式会社 マザーズ","072-811-3344","072-811-3346","572-0844","大阪府寝屋川市太秦緑が丘22番15号","","","","","10"
"2710302437","YCCスタジオ","ワーシーシースタジオ","072-831-2688","","572-0086","松屋町4番1号セゾンド香里1階","一般社団法人リトルウィング","072-831-1156","072-831-1166","572-0080","大阪府寝屋川市香里北之町3-2","","","","O","14"
"2710302502","就労支援B型ハイジ","シュウロウシエンビーガタハイジ","072-827-1111","","572-0062","高柳栄町6番2号","株式会社ゆりかごから旅立ちまで","072-828-0708","050-3545-0401","572-0047","大阪府寝屋川市大利元町20番3号","O","O","","","20"
"2710302577","就労支援センターアクア","シュウロウシエンセンターアクア","072-800-5513","","572-0867","高宮あさひ丘25番13号","株式会社KIYOMI","072-877-7666","","575-0042","大阪府四條畷市部屋本町1番14号","O","O","O","","15"
"2710302627","アシスト","アシスト","072-820-2100","","572-0837","早子町18番4号2F","リビングアシスト合同会社","072-820-2100","","572-0837","大阪府寝屋川市早子町18番4号","O","O","O","","20"
"2710302759","アズプレイス","アズプレイス","072-838-6555","072-344-5490","572-0076","仁和寺本町4丁目2番35号","合同会社アズプレイス","072-838-6555","072-344-5490","572-0076","大阪府寝屋川市仁和寺本町4丁目2番35号","","","","","20"
"2710302775","お花の就労支援事業所 Bouquet Toss (ブーケトス)","オハナノシュウロウシエンジギョウショ ブーケトス","072-822-8783","","572-0828","萱島桜園町10番2号","株式会社COLORS CREATION","072-813-5350","","572-0051","大阪府寝屋川市高柳二丁目8番5号","O","O","O","","20"
"2710302973","Land Mark","ランドマーク","072-813-1087","","572-0084","香里南之町26-6 204","合同会社いきものがたり","072-813-1087","","572-0084","大阪府寝屋川市香里南之町26番6号 センチュリー香里園204","O","O","","","10"
"2710302999","就労サポートセンターオリーブ","シュウロウサポートセンターオリーブ","090-9042-3024","","572-0077","点野5丁目3番12号","合同会社オリーブ","072-813-2900","","572-0077","大阪府寝屋川市点野5丁目3番12号","","O","O","","20"
"2710303013","リーフワークス","リーフワークス","072-830-3900","","572-0022","緑町28-1","株式会社さくら","072-830-3900","","572-0050","大阪府寝屋川市黒原城内町11番9号","","","","","20"
"2710303039","就労継続支援B型事業所ポンヌフ","シュウロウケイゾクシエンビーガタジギョウショポンヌフ","072-827-6500","","572-0072","太間東町8番7号","一般社団法人コンプリート","072-827-6500","072-827-6500","572-0072","大阪府寝屋川市太間東町8番7号","O","O","O","","20"
"2710303070","インクル","インクル","090-7860-4981","","572-0858","打上元町16番1号 寝屋川東ファミリータウン1階北1番館3号室","株式会社アートフル","090-7860-4981","","572-0818","大阪府寝屋川市讃良西町4番13号","O","O","O","","20"
"2710303112","HAPPY寝屋川","ハッピーネヤガワ","072-830-0616","","572-0042","東大利町7番16号","株式会社国際グループ","06-7410-7663","06-6978-4015","536-0005","大阪府大阪市城東区中央1丁目11番3号","O","O","","","20"
"2710303120","リビングカフェ","リビングカフェ","072-814-6301","","572-0837","早子町21番5号 吉川ビル1F","リビングアシスト合同会社","072-820-2100","","572-0837","大阪府寝屋川市早子町18番4号","O","","","","20"
"2710303211","Fran","フラン","06-6907-5858","","572-0025","石津元町11-28-3","株式会社一心","072-381-6078","","572-0025","大阪府寝屋川市石津元町11-28-3","O","O","","","20"
"2710303286","就労継続支援B型事業所happiness","シュウロウケイゾクシエンビイガタジギョウショハピネス","072-813-9881","","572-0862","打上宮前町1-2 タキリビル101号室","一般社団法人丸善会","072-886-3345","","572-0080","大阪府寝屋川市香里北之町15番2","O","O","O","","20"
"2710303393","コンフィアンサ高宮栄町店","コンフィアンサタカミヤサカエマチテン","090-9987-2084","","572-0846","高宮栄町25番26号","株式会社コンフィアンサ","090-9987-2084","","569-1141","大阪府高槻市氷室町一丁目8番9号","O","O","O","","20"
