通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,身体,知的,精神,難病,,,
1,あかり,06-4309-7066,06-4309-8722,577-0004,大阪府東大阪市稲田新町一丁目２０番７号,株式会社 Ｓｙｕｎｂｉｓｏ,○,○,○,○,20,,
2,メタル工房夢,06-6747-5231,06-6747-5233,577-0006,大阪府東大阪市楠根二丁目８番３４号,一般社団法人 社会福祉協会,○,○,○,○,20,,
3,Ｂｅａｕｔｙ Ｆａｃｔｏｒｙ,06-4307-3880,06-4307-3875,577-0007,大阪府東大阪市稲田本町三丁目２１番７号,株式会社 ＭＡＪＯＲＩＴＹ,○,○,○,○,20,,
4,Ｂｅａｕｔｙ Ｐｌａｎｔ,06-4307-5060,06-4307-5061,577-0005,大阪府東大阪市七軒家１４番７号,株式会社 ＭＡＪＯＲＩＴＹ,○,○,○,○,20,従,Ｂｅａｕｔｙ Ｆａｃｔｏｒｙ
5,ナチュラル スマイリング フェイス,06-6224-4114,06-6224-4114,577-0011,大阪府東大阪市荒本北一丁目７番１６号,合同会社 ｎａｔｕｒａｌ＆ｌｉｆｅ,○,○,○,○,20,,
6,Ｗｉｎ－Ｗｉｎ,06-6743-1100,06-6743-1120,577-0012,大阪府東大阪市長田東三丁目５番１９号,社会福祉法人 鴻池福祉会,○,○,○,○,14,○,
7,ジョブハウスねむの木,06-4308-4425,06-4308-4462,577-0022,大阪府東大阪市荒本新町４番１３号サンリットビル３－Ａ,合同会社 ビッグマウンド,○,○,○,○,20,,
8,ＯＭＮＩＢＵＳ ＲＯＡＳＴＥＲＳ ＴＯＫＹＯ,06-6748-0861,06-6748-0862,577-0023,大阪府東大阪市荒本二丁目１８番２２号Ａ号室,ＣＪエフォート 合同会社,,○,○,,20,,
9,ノイエス,06-4392-7717,06-4392-7716,543-0052,大阪府東大阪市大道三丁目３番３号,ＣＪエフォート 合同会社,,○,○,,20,従,ＯＭＮＩＢＵＳ ＲＯＡＳＴＥＲＳ ＴＯＫＹＯ
10,障害就労センター アースグリーン,06-6618-9848,06-6618-9858,577-0024,大阪府東大阪市荒本西三丁目２番８号,社会福祉法人 ヤンググリーン,○,○,○,○,34,○,
11,とうふく東テック,06-6782-1019,06-6782-1919,577-0024,大阪府東大阪市荒本西三丁目１番２０号,社会福祉法人 青山会,,○,,,10,○,
12,とうふく花園,072-963-7240,072-963-7321,578-0984,大阪府東大阪市菱江二丁目６番１１号,社会福祉法人 青山会,,○,,,15,従,とうふく東テック
13,ｃｏｃｏｒｏ,06-6782-3556,06-6782-3558,577-0024,大阪府東大阪市荒本西四丁目２番１０号,合同会社 心,○,○,○,○,20,,
14,３Ｓ長田,06-6789-1560,06-6789-1560,577-0025,大阪府東大阪市新家一丁目７番２２号,一般社団法人 Ｓ,○,○,○,○,20,,
15,ワンハート,06-6785-3522,06-6785-3522,577-0027,大阪府東大阪市新家中町５番３５号,真和 株式会社,○,○,○,○,20,,
16,アドバンス,06-6781-1197,06-6784-3390,577-0034,大阪府東大阪市御厨南二丁目６番２２号,特定非営利活動法人 発達障害サポートセンターピュア,,○,○,,20,,
17,３Ｓ,06-6787-9200,06-6787-9200,577-0048,大阪府東大阪市西堤西２番２５号,一般社団法人 Ｓ,○,○,○,○,20,,
18,青年の自立支援センターゆう,06-6787-2008,06-6787-2018,577-0054,大阪府東大阪市高井田元町二丁目４番６号岸田興産ビル,社会福祉法人 つむぎ福祉会,,○,○,,10,○,
19,リーブセンターひびき,06-6782-9522,06-6782-9554,577-0055,大阪府東大阪市長栄寺１０番２号,社会福祉法人 ひびき福祉会,○,○,○,○,10,○,
20,就労継続支援事業所 虹＆空,06-6753-7391,06-6753-7392,577-0055,大阪府東大阪市長栄寺２０番１３号ヨシキコーポラス１０３,合同会社 カリスサポート,○,○,○,○,20,,
21,ＪＤファクトリー,06-6784-7970,06-6784-7970,577-0056,大阪府東大阪市長堂三丁目２２番２２号ロイヤルソフトセンタービル１階,社会福祉法人 ゆう,,,○,,30,,
22,なないろほ～む,06-6784-4170,06-6784-4170,577-0054,大阪府東大阪市高井田元町二丁目６番４号メゾンドーム千成１階,社会福祉法人 ゆう,,,○,,10,従,ＪＤファクトリー
23,就労支援事業所フリー,06-6753-8111,06-6753-8111,577-0056,大阪府東大阪市長堂一丁目２番２０号陣内興産ビル３階,株式会社 フリー,○,○,○,○,10,○,
24,スタジオパッソ,06-4308-8833,06-4308-8834,577-0057,大阪府東大阪市足代新町１４番１７号,一般社団法人 パッソ,,,○,,20,,
25,にこにこ,06-6743-7138,06-6743-7139,577-0057,大阪府東大阪市足代新町１７番１０号第二新町ビル５０２号,株式会社 Ｔ’Ｓコーポレーション,○,○,○,○,20,,
26,はっぴぃアイリス,06-6753-7495,06-6753-7496,577-0057,大阪府東大阪市足代新町１７番９号２階,特定非営利活動法人 はっぴぃ２１福祉会,○,○,○,○,20,,
27,オリーブ・東大阪高井田,06-7182-4778,06-7182-4778,577-0061,大阪府東大阪市森河内西二丁目２５番９号,有限会社 ライフ,○,○,○,○,20,,
28,ハイワークひびき,06-6618-1147,06-6618-1148,577-0065,大阪府東大阪市高井田中一丁目８番１４号,社会福祉法人 ひびき福祉会,○,○,○,○,20,,
29,Ｗｏｒｋｒｏｏｍ ＬＯＨＡＳ,06-6753-8604,06-6753-8605,577-0067,大阪府東大阪市高井田西二丁目１番３２号大扇コーポ２０１号室,株式会社 Ｄｏｎｔｏｍ ＲＥＬＡＴＩＯＮＳ,,○,○,,26,,
30,Ｗｏｒｋｒｏｏｍ ＨＥＡＲＴＳ,06-6753-9182,06-6753-9183,534-0013,大阪府東大阪市内代町三丁目８番２６号,株式会社 Ｄｏｎｔｏｍ ＲＥＬＡＴＩＯＮＳ,,○,○,,14,従,Ｗｏｒｋｒｏｏｍ ＬＯＨＡＳ
31,Ｗｏｒｋｒｏｏｍ ＢＥＹＯＮＤ,06-6753-9182,06-6753-9183,534-0012,大阪府東大阪市御幸町一丁目６番２２号ＥＣビル５Ｆ,株式会社 Ｄｏｎｔｏｍ ＲＥＬＡＴＩＯＮＳ,,○,○,,20,従,Ｗｏｒｋｒｏｏｍ ＬＯＨＡＳ
32,ぱすてる,06-6784-2526,06-6784-2527,577-0801,大阪府東大阪市小阪二丁目５番２３号,一般社団法人 なないろ,○,○,○,○,20,,
33,スマイルプラス,06-6753-8683,06-6753-8684,577-0801,大阪府東大阪市小阪二丁目５番１０号ウェルレジデンス小阪２階,株式会社 Ｔ’Ｓコーポレーション,○,○,○,○,14,○,
34,さくら福祉作業所,06-6784-0530,06-6784-0530,577-0801,大阪府東大阪市小阪二丁目１１番１１号ビクトワール小阪１階,特定非営利活動法人 ライフ＆ケア,○,○,○,○,20,,
35,就労継続支援Ｂ型オリーブ,06-6730-7367,06-6730-7368,577-0802,大阪府東大阪市小阪本町一丁目２番８号小阪ビル４階１号,特定非営利活動法人 ベタニヤ村,○,○,○,○,20,,
36,ハートファミリー,06-6725-2351,06-6736-5218,577-0804,大阪府東大阪市中小阪一丁目８番１８号ＫｃｏｕｒｔＮａｋａｋｏｓａｋａ１階,社会福祉法人 ハートケア東大阪,,,○,,20,,
37,布施若草園,06-6723-5757,06-6736-5501,577-0804,大阪府東大阪市中小阪四丁目７番４７号,ＮＰＯ法人 三和福祉会,○,○,○,○,20,,
38,ワークセンター よつば,06-6730-8805,06-6730-8805,577-0816,大阪府東大阪市友井三丁目５番２号,ＮＰＯ法人 三和福祉会,○,○,○,○,20,従,布施若草園
39,ＩＮＯ,06-4307-5788,06-4307-5799,577-0807,大阪府東大阪市菱屋西二丁目２番１７号仁科ビル １階,株式会社 ＩＮＯ,○,○,○,○,10,○,
40,就労継続支援事業所こころⅡ,06-6730-6701,06-6730-6702,577-0808,大阪府東大阪市横沼町三丁目３番３号レジデンス双和１階,エボォルブ株式会社,○,○,○,○,20,,
41,就労継続支援Ｂ型 すてっぷ東大阪,06-6728-3377,06-6728-3388,577-0808,大阪府東大阪市横沼町一丁目１４番１７号マンシオン９９ １０１号室,株式会社 フルライフケア,○,○,○,○,20,,
42,ワークセンターひびき,06-6727-5470,06-6727-5471,577-0809,大阪府東大阪市永和三丁目１０番１５号,社会福祉法人 ひびき福祉会,○,○,○,○,15,○,
43,地域生活支援センターふう,06-6722-5531,06-6722-5532,577-0809,大阪府東大阪市永和二丁目６番３３号,社会福祉法人 天心会,,,○,,10,○,
44,支援センターつなぐの,06-6732-4905,06-6732-4906,577-0809,大阪府東大阪市永和一丁目２４番２号幸永マンション一階,一般社団法人 支援センターつなぐの,○,○,○,○,20,,
45,ツナグ工房／ツナグ茶房,06-6785-7488,06-6785-7480,577-0809,大阪府東大阪市永和一丁目２５番１号Ｃｅｌｅｂ布施東１階１０２号室,株式会社 ＴＳＵＮＡＧＵ,○,○,○,○,10,○,
46,就労継続支援Ｂ型事業所 しゅしゅ,06-4307-5211,06-4307-5212,577-0809,大阪府東大阪市永和二丁目１７番２０号１０３、２０３号室,株式会社 Ｓｈｕ－Ｓｈｕ,○,○,○,○,20,,
47,ステップ,06-6730-0041,06-6743-6888,577-0809,大阪府東大阪市永和三丁目１７番２９号,特定非営利活動法人 ふよう福祉会,,○,○,○,20,,
48,ｗｏｒｋ ｏｎ ムゲット ともいき,06-7777-1325,06-7777-1325,577-0814,大阪府東大阪市南上小阪７番２７号ヤナイビル２階,合同会社 憩い,○,○,○,○,20,,
