通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,,,,利用定員,多機能の有無,主たる事業所名
1,Ｗｉｌｌ,06-6789-6171,06-6789-6172,577-0023,大阪府東大阪市荒本一丁目４番３２号,社会福祉法人 ヤンググリーン,○,○,○,○,50,,
2,デイサービスせいきょう,06-6789-3616,06-7165-3322,577-0023,大阪府東大阪市荒本一丁目８番１４－１０４号,社会福祉法人 人輪会,○,○,○,○,10,,
3,ｏｎｅ ｌｉｎｋ ２ｎｄ,06-6784-0556,06-6784-0557,577-0023,大阪府東大阪市荒本二丁目１４番２４号,株式会社 ｓｔｏｃ９,○,○,○,○,20,,
4,障害就労センター アースグリーン,06-6618-9848,06-6618-9858,577-0024,大阪府東大阪市荒本西三丁目２番８号,社会福祉法人 ヤンググリーン,○,○,○,○,6,○,
5,おきべ麦の家,06-6788-6525,06-6788-6525,577-0033,大阪府東大阪市御厨東二丁目８番１０号,社会福祉法人 結の会,○,○,○,○,20,,
6,福ぷく,06-4400-4600,06-4400-4601,577-0034,大阪府東大阪市御厨南一丁目１番１２号ユニティーハウス２階,合同会社 福陽,○,○,○,○,20,,
7,れすと,06-6788-7834,06-6788-7712,577-0034,大阪府東大阪市御厨南三丁目２番３３号桜井第二ビル１階,ＮＰＯ法人 虹の会,○,○,○,○,20,,
8,ピュアファクトリー,06-6781-1197,06-6784-3390,577-0034,大阪府東大阪市御厨南二丁目６番２２号,特定非営利活動法人 発達障害サポートセンターピュア,,○,○,,20,,
9,お元気くらぶ ぷらっと,06-6785-2727,06-6785-2728,577-0054,大阪府東大阪市高井田元町二丁目２２番１７号,株式会社 元気な介護,○,○,○,○,18,,
10,とうふく布施,06-6785-0303,06-6785-0313,577-0057,大阪府東大阪市足代新町１３番１０号,社会福祉法人 青山会,,○,,,30,,
11,生活介護てふてふ徳庵,06-6748-8686,06-6748-8687,577-0064,大阪府東大阪市川俣本町７番２３号,ＮＰＯ法人 てふてふ,○,○,○,○,20,,
12,アクティビティーセンターひびき,06-6732-1112,06-6725-6522,577-0804,大阪府東大阪市中小阪五丁目１４番２３号,社会福祉法人 ひびき福祉会,○,○,○,○,60,,
13,アクティビティーセンターひびききずり,06-6748-0600,06-6748-0602,577-0827,大阪府東大阪市衣摺二丁目２番１８号,社会福祉法人 ひびき福祉会,○,○,○,○,10,従,アクティビティーセンターひびき
14,とうふく八戸ノ里,06-6720-2810,06-6720-2811,577-0804,大阪府東大阪市中小阪四丁目７番４７号,社会福祉法人 青山会,,○,,,9,○,
15,菜の花畑 なたね,06-6743-7736,06-6743-7737,577-0804,大阪府東大阪市中小阪一丁目１２番２０号,株式会社千得,○,○,,○,20,,
16,ノーサイド２,06-6736-1515,06-6736-1516,577-0808,大阪府東大阪市横沼町一丁目４番１６号,株式会社 ノーサイド,○,,,,20,,
17,ワークセンターひびき,06-6727-5470,06-6727-5471,577-0809,大阪府東大阪市永和三丁目１０番１５号,社会福祉法人 ひびき福祉会,○,○,○,○,6,○,
18,パレットひびき,06-6720-7774,06-6720-7764,577-0843,大阪府東大阪市荒川三丁目５番６号Ｍ・Ｍビル１０１号,社会福祉法人 ひびき福祉会,○,○,○,○,8,従,ワークセンターひびき
19,地域生活支援センターふう,06-6722-5531,06-6722-5532,577-0809,大阪府東大阪市永和二丁目６番３３号,社会福祉法人 天心会,,,○,,10,,
20,生活介護 六花,06-6224-4686,06-6224-4687,577-0814,大阪府東大阪市南上小阪１０番５４号,合同会社 六花,,○,○,,20,,
21,生活介護 六花 きしだどう,070-1255-7590,,577-0848,大阪府東大阪市岸田堂西二丁目１１番１３号ロイヤルハイツ１Ｆ,合同会社 六花,,○,○,,10,従,生活介護 六花
