通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者,,,利用定員,多機能の有無
1,Ｗｉｎ－Ｗｉｎ,06-6743-1100,06-6743-1120,577-0012,大阪府東大阪市長田東三丁目５番１９号,社会福祉法人 鴻池福祉会,○,○,○,6,○
2,就労支援センターレジスタ,06-6789-8500,06-6789-8501,577-0023,大阪府東大阪市荒本一丁目４番３２号,社会福祉法人 ヤンググリーン,○,○,○,20,○
3,青年の自立支援センターゆう,06-6787-2008,06-6787-2018,577-0054,大阪府東大阪市高井田元町二丁目４番６号岸田興産ビル,社会福祉法人 つむぎ福祉会,○,○,○,10,○
4,リーブセンターひびき,06-6782-9532,06-6782-9554,577-0055,大阪府東大阪市長栄寺１０番２号,社会福祉法人 ひびき福祉会,○,○,○,10,○
5,就労支援事業所 ａｓｉｓ,06-6618-6666,06-6618-6969,577-0067,大阪府東大阪市高井田西六丁目１番３１号高井田シグマビル４階Ａ,アール・エス・シーホールディングス株式会社,○,○,○,10,○
6,アプレンド,06-7639-1401,06-7639-1403,577-0809,大阪府東大阪市永和二丁目８番２号,社会福祉法人 天心会,,○,,20,○
7,アミュレ,06-7501-8711,06-7500-9981,577-0824,大阪府東大阪市大蓮東三丁目５番２４号,一般社団法人 アミュー,○,○,○,20,
8,アミューデイズおおはす,06-7494-7240,06-7500-9981,577-0825,大阪府東大阪市大蓮南四丁目１６番２５号,一般社団法人 アミュー,○,○,○,10,○
9,リカバリースペースみーる,06-6732-3210,06-4307-5666,577-0841,大阪府東大阪市足代三丁目１番２２号,一般社団法人 みーる,○,○,○,10,○
10,花園生活支援センター,072-966-8014,072-960-3019,578-0941,大阪府東大阪市岩田町二丁目１番３３号アルカディア弐番館,一般社団法人 つどい,,○,,6,○
11,サポートスペース ここりーど,072-975-5706,072-975-5716,578-0984,大阪府東大阪市菱江五丁目２番３４号,東大阪市,,○,,6,○
12,わんせるふ,072-980-1717,072-980-2020,579-8001,大阪府東大阪市善根寺町四丁目１１番３９号,社会福祉法人 育永会,○,,,12,○
