事業所番号,事業所名称,事業所郵便番号,事業所所在地,電話番号,FAX番号,居宅介護,重度訪問,同行援護,行動援護,療養介護,生活介護,短期入所,重度包括,ＣＨ,ＧＨ,入所支援,機能訓練,生活訓練,宿泊訓練,自立生活,就移一般,就移養成,就継Ａ型,就継Ｂ型,就労定着,地域定着,地域移行,計画相談,児相談,児童発達,医療発達,放課後,保育所,居宅発達
2715500019,ひばり作業所,581-0852,大阪府八尾市西高安町三丁目１８番３,072-998-7650,072-998-7751,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715500035,ちのくらぶ,581-0025,大阪府八尾市天王寺屋三丁目６番地,072-949-5740,072-920-1338,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715500621,八尾市立障害者総合福祉センター,581-0081,大阪府八尾市南本町八丁目４番５号,072-993-0294,072-993-0334,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715500738,クリエイトしき,581-0854,大阪府八尾市大竹七丁目８７番地,072-970-6550,072-970-5171,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715500753,つくしんぼ作業所,581-0853,大阪府八尾市楽音寺一丁目８４番,072-940-1212,072-940-1213,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500779,ベーカリーえいか,581-0081,大阪府八尾市南本町二丁目２番２０号,072-923-8120,072-929-8030,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500837,ゆうとおんうぇーぶ,581-0817,大阪府八尾市久宝園二丁目３０番地の４,072-926-1543,072-921-8883,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715500852,里の風,581-0856,大阪府八尾市水越二丁目８１番地,072-940-3321,072-940-3322,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715500878,ＰｉｃａＰｉｃａ作業所,581-0043,大阪府八尾市空港一丁目１４６番地の２,072-997-7475,072-993-1847,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500878,"ＰｉｃａＰｉｃａ作業所市役所店
 （主たる事業所 ＰｉｃａＰｉｃａ作業所）",581-0003,大阪府八尾市本町一丁目１番１号 八尾市庁舎地下１階,072-999-9922,072-999-9922,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500928,グランドライン,581-0823,大阪府八尾市桂町五丁目４６番３１号,072-990-3955,072-990-3950,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
