申請者－名称,事業所名称,事業所郵便番号,事業所所在地,区名,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,対象-身体障害者,対象-知的障害者,対象-障害児,対象-精神障害者
ＮＰＯ法人ｋｏｋｏｉｍａ,おめでたい,590-0011,大阪府堺市堺区香ケ丘町一丁9番1号,堺区,072-220-5458,072-220-5458,生活介護,2716002155,平成29年8月1日,あり,あり,なし,あり
株式会社 はるかぜコミュニケーション,はるかぜ作業所,590-0011,大阪府堺市堺区香ヶ丘町一丁4番9号,堺区,072-269-4429,072-269-4429,生活介護,2716002585,令和元年6月1日,あり,あり,なし,あり
株式会社はるかぜコミュニケーション,ケアセンターはるかぜ,590-0011,大阪府堺市堺区香ヶ丘町一丁5番32号 Ａ棟,堺区,072-269-4429,072-269-4430,生活介護,2716001207,平成24年4月1日,あり,あり,なし,あり
株式会社はるかぜコミュニケーション,第３ケアセンターはるかぜ,590-0011,大阪府堺市堺区香ヶ丘町一丁5番32号 B棟,堺区,072-238-2335,072-238-2339,生活介護,2716003328,令和6年3月1日,あり,あり,なし,あり
有限会社 アムジー,ハッピーポケット,590-0011,大阪府堺市堺区香ケ丘町四丁2番38号,堺区,072-232-5717,072-202-0696,生活介護,2716001538,平成25年11月1日,あり,あり,なし,あり
社会福祉法人 朋志美会,しののめハウス,590-0013,大阪府堺市堺区東雲西町四丁6番20号,堺区,072-222-5131,072-222-5202,生活介護,2716500323,令和3年5月1日,なし,なし,なし,あり
株式会社 ニチイ学館,ニチイケアセンターベルマージュ堺,590-0014,大阪府堺市堺区田出井町1番2-100号 ベルマージュ堺弐番館,堺区,072-282-8031,072-282-8032,生活介護,2716002551,平成31年4月1日,あり,あり,なし,あり
ＭＭＲ泉株式会社,小規模多機能型居宅介護 恵乃郷,590-0018,大阪府堺市堺区今池町六丁4番7号,堺区,072-226-5151,072-226-5152,生活介護,2716002437,平成30年12月1日,あり,あり,なし,あり
社会福祉法人 自立支援協会,南部交流センター,590-0018,大阪府堺市堺区今池町四丁7番33号,堺区,072-238-6541,072-229-8159,生活介護,2716000894,平成22年5月1日,あり,あり,なし,あり
シャローム 株式会社,やすらぎサロン,590-0801,大阪府堺市堺区大仙中町7番12号,堺区,072-245-1707,072-245-1708,生活介護,2716003096,令和4年9月1日,あり,なし,なし,なし
社会福祉法人 サライ福祉会,サライ,590-0802,大阪府堺市堺区百舌鳥夕雲町二丁237番地1,堺区,072-247-3373,072-247-3372,生活介護,2716000779,平成21年7月1日,あり,あり,なし,なし
社会福祉法人 大阪府障害者福祉事業団,じょぶライフだいせん,590-0808,大阪府堺市堺区旭ケ丘中町四丁2番1号,堺区,072-245-7485,072-245-7486,生活介護,2716000555,平成19年6月1日,あり,あり,なし,あり
社会福祉法人三篠会,堺市立重症心身障害者（児）支援センター ベルデさかい,590-0808,大阪府堺市堺区旭ケ丘中町四丁3番1号,堺区,072-275-8510,072-243-5900,生活介護,2716001256,平成24年5月1日,あり,あり,なし,なし
社会福祉法人サワリ,共生型生活介護 ピパ,590-0811,大阪府堺市堺区南陵町一丁2-6,堺区,072-280-0830,072-241-7772,生活介護,2716003203,令和5年6月1日,あり,あり,なし,あり
社会福祉法人 コスモス,おおはま障害者作業所,590-0829,大阪府堺市堺区東湊町五丁276番,堺区,072-241-1900,072-241-1901,生活介護,2716000498,平成19年3月1日,なし,あり,なし,なし
社会福祉法人 コスモス,第２おおはま障害者作業所,590-0829,大阪府堺市堺区東湊町四丁237番1,堺区,072-243-0750,072-243-0751,生活介護,2716002510,平成31年4月1日,なし,あり,なし,なし
特定非営利活動法人 きずなの会,デイサービスステーションきずなの会,590-0835,大阪府堺市堺区西湊町六丁4番3号,堺区,072-243-7600,072-243-7608,生活介護,2716003070,令和4年9月1日,あり,あり,なし,あり
