事業所番号,事業所名称,TEL,FAX,事業所郵便番号,事業所所在地,申請者,児,定員,居,放,定員,保,備考,,
2751120037,ほっとスペースあん,072-433-3907,072-433-3907,596-0047,大阪府岸和田市上野町東13番10号三八ビル１階Ｂ号室,特定非営利活動法人まんまる,,,,●,10,,,大阪府岸和田市,0
2751120045,ＣｏＣｏ,072-433-2822,072-433-2823,596-0823,大阪府岸和田市下松町一丁目11番７号,ボンズ株式会社,●,10,,●,10,,,大阪府岸和田市,0
2751120052,はなはな,072-441-1308,072-441-3825,596-0102,大阪府岸和田市山直中町875番地,社会福祉法人いずみ野福祉会,,,,●,10,,,大阪府岸和田市,0
2751120086,放課後等デイサービスこまつり,072-448-6617,072-443-6639,596-0821,大阪府岸和田市小松里町911-１,社会福祉法人光生会,,,,●,10,,,大阪府岸和田市,0
2751120102,放課後等デイサービスなう,072-457-1361,072-457-1993,596-0826,大阪府岸和田市作才町1180番地１階,株式会社晴友,●,10,,●,10,,,大阪府岸和田市,0
2751120128,児童デイサービスばらの木,072-447-6960,072-447-6961,596-0001,大阪府岸和田市磯上町一丁目14番23号,株式会社百花,●,10,,●,10,,,大阪府岸和田市,0
2751120144,キッズハウスなごみ家,072-468-6960,072-468-6961,596-0831,大阪府岸和田市畑町四丁目１番16号,アプリコットマネジメント株式会社,●,10,,●,10,,,大阪府岸和田市,0
2751120151,運動＆学習療育あなたが宝モノ　岸和田堺町教室,072-433-1231,072-433-1241,596-0072,大阪府岸和田市堺町１番38号大起ビル３Ｆ,株式会社いのちの木,●,10,,●,10,●,,大阪府岸和田市,0
2751120177,ジェイキッズきりん,072-477-3535,072-457-5493,596-0825,大阪府岸和田市土生町2475-22,株式会社ジェイケア,●,10,,●,10,,,大阪府岸和田市,0
2751120185,こどもランドなっつ,072-443-2261,072-443-2263,596-0816,大阪府岸和田市尾生町1188番地の１,株式会社ＮＵＴＳドリーム,●,10,,●,10,,,大阪府岸和田市,0
2751120193,児童デイサービスばらの木アネックス,072-447-6088,072-447-6089,596-0045,大阪府岸和田市別所町二丁目３番２号,株式会社百花,●,10,,●,10,,,大阪府岸和田市,0
2751120201,放課後デイサービスつじい,072-479-4182,072-479-4183,596-0816,大阪府岸和田市尾生町三丁目３番50号,株式会社文衛門,●,10,,●,10,,,大阪府岸和田市,0
2751120219,放課後デイサービス・ふれあい泉,072-440-2752,072-440-2753,596-0002,大阪府岸和田市吉井町二丁目12番21号,特定非営利活動法人ふれあい泉,,,,●,10,,,大阪府岸和田市,0
2751120227,こどもハウスだんぼ,072-493-8326,072-493-8327,596-0814,大阪府岸和田市岡山町220番地の２,株式会社ＮＵＴＳドリーム,☆,5,,☆,5,,,大阪府岸和田市,0
2751120243,アリス,072-479-5670,072-479-5671,596-0823,大阪府岸和田市下松町三丁目４番１号Ａ棟102号、104号、105号,合同会社アーリーケア,●,10,,●,10,,,大阪府岸和田市,0
2751120268,キッズハウスなごみ家土生,072-428-7550,072-428-7553,596-0825,大阪府岸和田市土生町九丁目11番11号,アプリコットマネジメント株式会社,●,10,,●,10,,,大阪府岸和田市,0
2751120276,児童福祉サービスＬａｒｉｍａｒ Arch,072-443-1331,072-443-1332,596-0003,大阪府岸和田市中井町二丁目８番31号,ＮＰＯ法人児童福祉サービスＬａｒｉｍａｒ,,,,●,10,,,大阪府岸和田市,0
2751120284,発達支援教室レッツ,072-477-5974,050-3730-7560,596-0823,大阪府岸和田市下松町三丁目５番11号,一般社団法人ライトアップ,,,,●,10,●,,大阪府岸和田市,0
2751120318,児童発達支援・放課後等デイサービスＨＵＧＳ,072-430-1160,072-430-1161,596-0047,大阪府岸和田市上野町東10番39号１階,株式会社オキシテック,●,10,,●,10,,,大阪府岸和田市,0
2751120334,多機能型事業所　子どもの森,072-424-2872,072-424-2872,596-0805,大阪府岸和田市田治米町13番地の４,一般社団法人子どもの森,●,10,●,●,10,●,,大阪府岸和田市,0
2751320140,児童発達支援・放課後等デイサービス陽（ひなた）,072-438-2275,072-438-2275,596-0056,大阪府岸和田市北町10番7号,株式会社藤企画,●,10,,●,10,,,大阪府岸和田市,0
2751120342,清流の家　岸和田,072-420-0020,072-420-0021,596-0827,大阪府岸和田市上松町457－１,合同会社哲人社,●,10,,●,10,,,大阪府岸和田市,0
2751120367,進学＆就職支援あなたが宝モノ岸和田沼町教室,072-433-5266,072-433-5277,596-0053,大阪府岸和田市沼町18番1号川長ビル２F,株式会社いのちの木,●,10,,●,10,,,大阪府岸和田市,0
2751120375,児童デイサービスくれよん下池田,072-441-1717,072-441-1919,596-0811,大阪府岸和田市下池田町一丁目６番17号,有限会社サプラス,●,10,,●,10,,,大阪府岸和田市,0
2751120383,放課後児童デイサービスくれよん,072-448-6611,072-448-6612,596-0821,大阪府岸和田市小松里町874番地３,有限会社サプラス,●,10,,●,10,,,大阪府岸和田市,0
2751320181,放課後等デイサービス　なごみ家,072-479-8905,072-479-8906,596-0825,大阪府岸和田市土生町2286番地,アプリコットマネジメント株式会社,●,10,,●,10,,,大阪府岸和田市,0
2751120409,MIND  after  school,072-415-2183,072-415-2183,596-0826,大阪府岸和田市作才町1162番地の１シンエイビル6階,株式会社MIND,●,10,,●,10,,,大阪府岸和田市,0
2751120425,放課後等デイサービス・児童発達支援　ひなたきっず,０７２－４３７－１０１１,０７２－４３７－１０１１,５９６－００３５,大阪府岸和田市春木泉町10番33号　宮城ビル１階,株式会社スズヤ,●,10,,●,10,,,大阪府岸和田市,0
2751120433,児童発達支援・放課後等デイサービスＯｈａｎａ・Pono,０７２－４９６－６７８２,０７２－４９６－６７８２,５９６－００２３,大阪府岸和田市八幡町１番10号１階,合同会社Ohana,●,10,,●,10,,,大阪府岸和田市,0
2751120441,児童デイサービス　パピプケア,072-493-4140,072-493-4141,596-0823,大阪府岸和田市下松町5062番地,株式会社The First,●,10,,,,,,大阪府岸和田市,0
2751120466,フタール岸和田,072-430-3110,072-430-3111,596-0045,大阪府岸和田市別所町一丁目14番28号　Ｋ・ル・フタールビル３階・５階,株式会社アップサポート,●,10,,●,10,,,大阪府岸和田市,0
2751120482,児童デイサービス　こもっこ　岸和田,072-479-8842,072-479-8843,596-0821,大阪府岸和田市小松里町2076番,株式会社　栄拓,☆,5,,☆,5,,,大阪府岸和田市,0
2751120474,ファーストクラス久米田校,072-441-2361,072-441-2361,596-0812,大阪府岸和田市大町475番地の19久米田ショッピングセンター201号室,株式会社フルスイングリージェンシー,●,10,,●,10,,,大阪府岸和田市,0
2751120490,ふりすくもーど,072-445-8822,072-445-8811,596-0813,大阪府岸和田市池尻町211,株式会社ミヤシタ,●,10,,●,10,,,大阪府岸和田市,0
2751120508,清流の家　春木,072-430-5101,072-430-5102,596-0006,大阪府岸和田市春木若松町３番27号,合同会社哲人社,●,10,,●,10,,,大阪府岸和田市,0
2751120516,児童発達支援・放課後等デイサービス　ＧＯ,072-489-5905,072-489-5905,596-0004,大阪府岸和田市荒木町二丁目５番２号　Ｍ’ｓビル４階401号室,合同会社Ｇｒｏｗｔｈ　Ｏｒｉｅｎｔｅｄ,●,10,,●,10,,,大阪府岸和田市,0
2751120524,児童デイサービスｍａｆａ,072-474-4654,072-474-5649,596-0044,大阪府岸和田市西之内町７番21号１階,株式会社ＩＴＯＳＡ,☆,5,,☆,5,,,大阪府岸和田市,0
2751120532,放課後等デイサービス　ピリナ,090-8846-0939,072-441-4439,596-0003,大阪府岸和田市中井町三丁目18番25号,合同会社カピリナ,●,10,,●,10,,,大阪府岸和田市,0
2751120540,ウルぱあに,072-439-9578,072-468-9658,596-0825,大阪府岸和田市土生町三丁目14番27号川口ビル２Ｆ,株式会社ａｓｏｂｉｌ,●,10,,●,10,,,大阪府岸和田市,0
2751120557,こどもパークゆめっこ,072-436-1165,072-493-6594,596-0073,大阪府岸和田市岸城町28番36号,株式会社NUTSドリーム,☆,5,,☆,5,,,大阪府岸和田市,0
2751120565,放課後等デイサービスＯＲＡＮＧＥ,072-489-5885,072-489-5553,596-0821,大阪府岸和田市小松里町2416番地,株式会社ビロー,●,10,,●,10,,,大阪府岸和田市,0
2751120573,ちびこば岸和田,072-493-4021,072-493-4022,596-0002,大阪府岸和田市吉井町一丁目14番27号,株式会社大阪やまと,,,,●,10,,,大阪府岸和田市,0
2751120581,ぽけっと,072-477-2037,072-477-2037,596-0825,大阪府岸和田市土生町六丁目４番44号,株式会社ペタゴー,,,,●,10,,,大阪府岸和田市,0
2751120599,重心・医ケア児専門　児童デイサービス　ひなたぼっこ,072-475-1110,072-475-1110,596-0035,大阪府岸和田市春木泉町16番９号,株式会社スズヤ,☆,5,,☆,5,,,大阪府岸和田市,0
2751120607,児童発達支援・放課後等デイサービス　Ｂａｍｂｉｎｏ,０７２‐４８９‐５５２７,０７２‐４８９‐５５２７,５９３－０８２１,大阪府岸和田市小松里町2137番地,株式会社ＶＩＸＴ,●,10,,●,10,,,大阪府岸和田市,0
2751120615,岸和田こども総合支援研究所　こころＢＬＩＳＳ,072-443-0555,072-443-0557,596-0821,大阪府岸和田市小松里町325番７の２　２階,特定非営利活動法人地域福祉創造協会ウインク,●,10,,●,10,●,,大阪府岸和田市,0
