事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：重症心身障がい児,指定日,主たる事業所名,共生型指定,Unnamed: 11,Unnamed: 12,Unnamed: 13
2754120141,ＬＩＴＡＬＩＣＯジュニア梅田教室,06-6343-9701,06-6343-9703,530-0003,大阪府大阪市北区堂島二丁目３番９号　ＳＵＲＥ堂島ビル５Ｆ,株式会社ＬＩＴＡＬＩＣＯパートナーズ,,2016/01/01,,,,,
2754120521,みらいジュニア　梅田校,06-6292-7551,06-6292-7552,530-0012,大阪府大阪市北区芝田二丁目８番１０号　光栄ビル５Ｆ－Ａ号室,株式会社ＵＮＴＯＬＤ,,2021/09/01,,,,,
2754120646,セントラル・パーク　てんま,06-6355-5200,06-6355-5201,530-0035,大阪府大阪市北区同心二丁目２番７号　ナヴィール岩船２階,株式会社ＪＣＰ,,2024/01/01,,,,,
2754120133,児童デイサービス　くれよん　松ヶ枝,06-6940-0211,06-6357-1172,530-0037,大阪府大阪市北区松ケ枝町８番４号　グランピア松ヶ枝１階,アイケアサービス株式会社,,2015/12/01,,,,,
2754120265,ユニケアこどもデイサービス南森町,06-6352-1333,06-6352-1334,530-0038,大阪府大阪市北区紅梅町６番２号　サンパレス南森町１階,株式会社ユニケア,〇,2019/02/01,,,,,
2754120752,ＭｙＳｔｅｐジュニア　南森町教室,06-6314-6665,050-3385-1898,530-0041,大阪府大阪市北区天神橋三丁目７番７号　玉屋ビル２階２０１号,株式会社ＭｙＳｔｅｐ,,2024/11/01,,,,,
2754120034,テトラｃｏｃｏ　アニー天満,06-6809-4150,06-6809-4151,530-0041,大阪府大阪市北区天神橋四丁目８番１２号　アークビル４階,一般社団法人テトラｃｏｃｏ,,2013/03/01,,,,,
2754120596,ＣＯＬＬＥ　ＣＯＬＯＲ,06-4800-5013,06-4800-5014,530-0042,大阪府大阪市北区天満橋一丁目４番１６号　クレール東天満３階,株式会社はなまるグループ,,2022/09/01,,,,,
2754120562,ＬＥＧＯＮ　Ｋｉｄｓ　天満　月組,06-4397-4251,06-4397-4250,530-0043,大阪府大阪市北区天満一丁目５番２０号　絆ビル４階,株式会社レーヴ,,2022/01/01,,,,,
2754120505,モンテツリー　天満の杜,06-6882-7703,050-3586-6868,530-0043,大阪府大阪市北区天満四丁目１番２号　コミニケ出版ビル４階,株式会社コミニケライフサービス,,2021/08/01,,,,,
2754120570,体験型放課後等デイサービス　リトルフット,06-4397-4015,06-4397-4018,530-0043,大阪府大阪市北区天満一丁目５番２０号　絆ビル５階,株式会社ＪＯＢ　ｃｏｎｎｅｃｔ,,2022/01/01,,,,,
2754120687,児童発達支援てんてん,06-6484-9893,06-6484-9894,530-0043,大阪府大阪市北区天満一丁目１３番９号　クォーターハイツ１階,株式会社リベラーラ,,2024/04/01,,,,,
2754120695,ＬＥＧＯＮ　Ｋｉｄｓ　天満　宙組,06-4397-4252,06-4397-4253,530-0043,大阪府大阪市北区天満一丁目５番２０号　絆ビル２階,株式会社リベラーラ,,2024/04/01,,,,,
2754120737,インフィニティキッズてんま,06-6450-5119,06-6450-5119,530-0043,大阪府大阪市北区天満一丁目８番１３号　マンションいくしま１階,株式会社セリオ,〇,2024/07/01,,,,,
2754120448,はなまる東天満店,06-6356-0870,06-6356-0871,530-0044,大阪府大阪市北区東天満二丁目５番２０号　古林ビル１階,株式会社はなまるグループ,,2021/01/01,,,,,
2754120083,ハグキッズ健康クラブ　おおさかてんじん,06-6755-4434,06-6755-4437,530-0045,大阪府大阪市北区天神西町４番４号　 ,株式会社コウケン,,2014/11/01,,,,,
2754120430,まなび　ふたば,06-4309-6027,06-4309-6028,530-0045,大阪府大阪市北区天神西町６番７号　ファインアートビル１階,株式会社はなまるグループ,,2021/01/01,,,,,
