事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,法人電話番号,法人FAX番号,法人郵便番号,法人主たる事務所所在地
2712400759,清水園,072-896-1600,072-896-0610,573-0123,大阪府枚方市大字津田８７３番地２　,社会福祉法人高潤会,072-849-1000,072-849-1010,573-1188,大阪府枚方市磯島北町２９番１５号　
2712400767,南海香里のさと,072-832-8576,072-834-3231,573-0094,大阪府枚方市南中振一丁目２０番４８号　,社会福祉法人大阪福祉事業財団,06-6931-0098,06-6933-1699,536-0001,大阪府大阪市城東区古市一丁目７番８号　
2712400775,とうかえで,072-809-0870,072-809-0871,573-1124,大阪府枚方市養父東町５０番１３号　,社会福祉法人くずは創親会,072-809-0870,072-809-0871,573-1124,大阪府枚方市養父東町５０番１３号　
2712400791,わかたけ,072-805-9911,072-805-9910,573-1161,大阪府枚方市交北四丁目１２４８番地１　 ,社会福祉法人まりも会,072-896-5530,072-896-5540,573-0137,大阪府枚方市春日北町四丁目１番７号　
2712400809,茶楽わくわく,072-809-0015,072-809-0015,573-1162,大阪府枚方市田口一丁目３番２号　 ,特定非営利活動法人陽だまりの会,072-809-0015,072-809-0015,573-1161,大阪府枚方市交北二丁目７番１５号　
2712400908,心学塾作業所,072-859-9194,072-859-9195,573-0146,大阪府枚方市大峰元町一丁目２１番５号　,社会福祉法人心愛,072-859-9194,072-859-9195,573-0146,大阪府枚方市大峰元町一丁目２１番５号　
2712400924,出屋敷の里,072-848-2611,072-848-2711,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　,社会福祉法人きくのか福祉会,072-848-2611,072-848-2711,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　
2712400940,エミナわらしべ,072-807-3682,072-868-3305,573-0164,大阪府枚方市長尾谷町一丁目１０１番地１　 ,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401005,指定障害者支援施設津田療護園,072-858-1755,072-858-1205,573-0122,大阪府枚方市津田東町二丁目１番１号　,社会福祉法人枚方療育園,072-858-0373,072-858-9321,573-0122,大阪府枚方市津田東町二丁目１番１号　
2712401054,第二わらしべ園,072-850-8406,072-850-8412,573-0103,大阪府枚方市長尾荒阪二丁目３５４５番地　,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401260,マイウェイひらかたワーク草笛,072-808-2031,072-808-2032,573-0155,大阪府枚方市藤阪天神町３番１号　,社会福祉法人マイウェイ福祉の会,0721-90-3500,0721-90-3501,585-0014,大阪府南河内郡河南町大字白木１０３３番地４　
2712401351,とくふうホーム,072-858-4058,072-858-4061,573-0112,大阪府枚方市大字尊延寺４５９２番２４　,社会福祉法人徳風会,072-856-5005,072-856-8545,573-0001,大阪府枚方市田口山二丁目５番１号　
2712401419,障害者労働センター,072-848-0508,072-848-7920,573-0011,大阪府枚方市中宮山戸町１０番１２－１０２号　 ,特定非営利活動法人パーソナルサポートひらかた,072-848-8825,072-848-7920,573-0011,大阪府枚方市中宮山戸町１０番１２－１０５号　
2712401435,エンジェルス,072-852-8440,072-852-8440,573-0077,大阪府枚方市東香里新町１１番１８号　,ＮＰＯ法人エンジェルス,072-852-8440,072-852-8440,573-0077,大阪府枚方市東香里新町１１番１８号　
2712401468,わらしべ園,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５番地　,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401492,ぱすてる,072-848-0055,072-848-7733,573-1165,大阪府枚方市都丘町２７番２５号　,特定非営利活動法人キッズＭ,072-861-6360,072-861-6361,573-0057,大阪府枚方市堤町２番１－１０３号　
2712401500,ぽっぽサービス,072-808-8831,072-808-8832,573-1196,大阪府枚方市中宮本町６番１２号　,株式会社ぽっぽサービス,072-808-8831,072-808-8832,573-1196,大阪府枚方市中宮本町６番１２号　
2712401617,ぐっどケアＳｏ－Ｌａ,072-391-0018,072-805-0278,573-0002,大阪府枚方市出屋敷元町二丁目９番１号　 ,ぐっどケア有限会社,072-808-0910,072-808-0911,573-0127,大阪府枚方市津田元町二丁目５４番５号　
