事業所名称,事業所郵便番号,事業所所在地,電話番号,FAX番号,事業開始年月日
デイサービス・一心,565-0801,大阪府吹田市青葉丘北13-1 ﾒﾛﾃﾞｨｰﾊｲﾑ吹田青葉丘102,06-6877-1627,06-6877-1628,令和5年4月1日
吹田つながりの場はるにれ,564-0083,大阪府吹田市朝日が丘町36番8-C号,06-6821-4849,06-6821-4849,令和3年1月1日
アトリエゆうハウス,564-0041,大阪府吹田市泉町五丁目11番12号 ﾘｰｻｲﾄﾞ豊津511号室,06-6389-9660,06-6389-9660,平成22年4月1日
のぞみ共同作業所,564-0041,大阪府吹田市泉町五丁目9番6号,06-6310-0345,06-6310-0345,平成31年4月1日
なつにれ,564-0082,大阪府吹田市片山町一丁目20番13号 SSKｾﾝﾀｰﾋﾞﾙ1階･2階,06-6388-0788,06-6388-0788,令和3年1月1日
第２Ｎｉｇｅｌｌａ,564-0082,大阪府吹田市片山町二丁目16番6号,06-7165-7536,06-7165-7536,令和2年4月1日
でい・キャンプ,564-0082,大阪府吹田市片山町四丁目38番36-1号 1階,06-6339-3350,06-6339-6001,令和5年12月1日
オールケア北千里,565-0872,大阪府吹田市上山田1番12号,06-6816-2770,06-6816-2760,令和2年9月1日
いつきデイサービス,565-0841,大阪府吹田市上山手町8-4-101,06-6155-7552,06-6155-7504,令和3年5月1日
スマイルぷくぷく,564-0002,大阪府吹田市岸部中一丁目19番19号,06-6337-8050,06-6337-8840,平成22年1月1日
リターンぷくぷく,564-0002,大阪府吹田市岸部中三丁目26番5号,06-6337-5342,06-6318-5354,平成23年7月1日
ガンバコミキャン,564-0002,大阪府吹田市岸部中五丁目5番3号,06-6190-4462,06-6190-4462,平成23年1月1日
アトリエぷらす,564-0036,大阪府吹田市寿町一丁目18番3号,06-6317-5003,06-6317-5003,令和5年1月1日
ぷくぷくワールド,564-0036,大阪府吹田市寿町二丁目17番17号,06-6317-5588,06-6317-5320,平成22年3月1日
ワークセンターくすの木,565-0836,大阪府吹田市佐井寺三丁目3-1,06-6378-9770,06-6378-9771,平成19年10月1日
第１ヒューマン,565-0831,大阪府吹田市五月が丘東2B-116/117,06-6875-8515,06-6875-8515,平成26年4月1日
ワークショップアリスの家,565-0831,大阪府吹田市五月が丘東7番8号,06-6821-7464,06-6821-7464,平成20年4月1日
テラス・フォーシーズンズ,565-0831,大阪府吹田市五月が丘東7番8号 107号,06-6318-6002,06-6318-6195,令和3年1月1日
きらめき,565-0832,大阪府吹田市五月が丘南9番10号ﾌﾞｰﾙｳﾞｧｰﾙ五月が丘101号,06-6385-2713,06-6385-2713,令和5年4月1日
吹東町コミュニティキャンパス,564-0014,大阪府吹田市吹東町20番2号,06-6383-2299,06-6383-2299,平成23年10月1日
第２コミュニティキャンパス,564-0039,大阪府吹田市清和園町22番4号 山本ﾋﾞﾙ1F,06-4860-1771,06-4860-1771,平成23年1月1日
