区,事業所名称,事業所所在地,ＴＥＬ,ＦＡＸ,支援の種類,備考,事業所郵便番号
堺区,ちぇりぃくらぶ,大阪府堺市堺区少林寺町東二丁２番８号,072-238-1666,072-238-1665,放,,590-0963
堺区,ぽいんといちに,大阪府堺市堺区向陵東町3丁5番6号,072-253-0014,072-256-4103,児・放,,590-0025
堺区,こどもデイサービスきらり中安井ルーム,"大阪府堺市堺区中安井町３－３－４
 福岡ビル１F",072-256-4772,072-256-4992,児・放,,590-0063
堺区,放課後等デイサービス わかば七道,大阪府堺市堺区北旅籠町西3-3-10,072-275-5173,072-275-5372,放,,590-0928
堺区,オリーブ,"大阪府堺市堺区車之町西一丁1-26 
 ﾛｲﾔﾙｺｰﾄﾋﾞﾙⅡ301",072-275-9466,072-275-9466,放,,590-0940
堺区,えいたい ほのか,大阪府堺市堺区永代町２丁２－２１,072-230-4930,072-230-4930,児・放,,590-0065
堺区,児童デイサービス はみんぐばーど,"大阪府堺市堺区出島海岸通1丁11番５号
 ジーフラット堺１F",072-245-3337,072-245-3338,児・放,,590-0833
堺区,コスモス放課後等デイサービス でん・でん,大阪府堺市堺区東湊町４丁237-1,072-230-4433,072-243-0717,放,,590-0829
堺区,ラック宿院スタジオ,大阪府堺市堺区宿院町東3丁1-3 メゾンドフェニックス202号室,072-206-2413,072-206-2419,児・放,,590-0955
堺区,マーブル堺東,大阪府堺市堺区大町東1丁2-26 音楽ビル２階,072-224-5077,072-224-5077,放,,590-0954
堺区,ビーナスキッズみくにがおか,大阪府堺市堺区北三国ヶ丘町八丁7番3号 トライアンフ北三国１階,072-247-8344,072-247-8350,児・放,,590-0021
堺区,てらぴぁぽけっと 堺教室,大阪府堺市堺区車之町西2丁2-5 ロイヤルコートビル2階,072-275-8217,072-275-8218,児,,590-0940
堺区,ほっとるーむミカタ,大阪府堺市堺区砂道町1丁6番8号,072-275-7950,072-275-7960,児・放,,590-0002
堺区,運動療育アイエス,大阪府堺市堺区向陵中町四丁7番28号 中谷第３ビル２階,072-248-5171,072-248-6376,児・放,R6.9.1事業所名変更,590-0024
堺区,LITALICOジュニア堺東教室,大阪府堺市堺区翁橋町1丁1-1 ミナルコビル1階,072-225-5225,072-225-5226,児,,590-0061
堺区,ｂｅみ・らいず,大阪府堺市堺区中瓦町1丁1番4号 辻野ビル2階 東側,050-5444-5491,,放,,590-0077
堺区,こぱんはうすさくら堺教室,大阪府堺市堺区錦之町東一丁１番１３号,072-245-9554,072-245-9574,児・放,,590-0932
堺区,マーブルキッズアスリート,大阪府堺市堺区南陵町1丁2-11ワーク第二マンション1階,072-280-5015,,放,,590-0811
堺区,マーブルハレ津久野,大阪府堺市堺区神石市之町9番20号 グランディール津久野1階,072-267-6455,072-267-6455,児・放,,590-0813
堺区,little nico,大阪府堺市堺区浅香山町二丁２番９号,072-222-0077,072-222-0078,児・放,,590-0012
堺区,Daisy kids 堺,大阪府堺市堺区北庄町一丁９番６号 サワーハイツ北庄町１０１,072-225-5544,072-225-5543,児・放,,590-0007
堺区,TAKUMI堺,大阪府堺市堺区戎島町2-66 M・Y2堺駅前ビルⅡ 3階A,072-276-4120,072-276-4520,児・放,,590-0985
